ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text, location
62958859,curish,368,0,,0,1629,5,"No privatization of SS; I've paid in, I want mine! Yes Clinton/Kaine; No Trump/Pence-not presidential!","Davenport, IA"
104615577,BudgetHawks,7033,2,,0,3906,343,.@timkaine is right. Trump would increase debt much more than Clinton. #debates https://t.co/mkLmfHyB6j #debates https://t.co/oEzCpVrYqD,"Washington, DC"
714985182315450368,Debbierg51,505,260,,0,529,115,"RT @Ian56789: Hillary Clinton's ""uninformed"" #BasementDwellers know that Hillary has taken massive bribes from drugs companies to price gou…","Barrington, RI"
119208568,sandrapelton,43,427,,0,196,0,RT @mike_pence: Hillary Clinton’s economic plan would send our economy into a tailspin. #BigLeagueTruth https://t.co/WGvrZDfefZ,
607294108,seb_mar,25,13,,0,263,0,"RT @Fusion: ""Do you want a You're Hired president in Hillary Clinton, or do you want a You're Fired president in Donald Trump?"" https://t.c…","Utah, United States"
86123044,MattM3502,723,4,,0,1887,63,RT @XavierBecerra: .@HillaryClinton's proud of Clinton Foundation life-saving work. If only #Trump would disclose info about type of work h…,"Tustin, CA"
526610167,KayWalker10,3181,1,,0,2961,142,RT @LAYNALANGUAGE: @KayWalker10 @cfoundationsrws  - CLINTONS STOLE 94% OF THE DONATIONS TO THAT COUNTRY THRU THE CLINTON FOUNDATION...;)L.,
20637214,Cycle4,414,5,,0,793,5,"RT @KevinMKruse: Pence claimed Clinton's plans would raise the debt more than Trump's. No.
https://t.co/ws5ThkqnZ4",Michigan
575033407,RobbieNava,98,0,,0,104,2,"If past voting records are fair game, how about Clinton's previous stances on the Iraq War and gay marriage? #VPDebate",Texas
4748057315,kevtalmadge,213,282,,0,34,51,"RT @JoyAnnReid: ""...there are 359,000 more black voters in battleground states than in 2012. There are 660,000 more Latino voters.."" https:…",
714403996870397952,Sharoni03,276,34,,0,273,27,"RT @hardball: Kaine says his family trusts Clinton as commander-in-chief; the thought of Trump in the role ""scared us to death."" https://t.…",
15700350,powertrip51500,89,41,,0,558,3,RT @USAforTrump2016: I've got a question Tim...Should Hillary Clinton face consequences for mishandling classified information? #VPDebate h…,North America
332637055,HeidiL_RN,51720,0,,0,15318,629,Hillary Clinton's lawlessness and criminality in its enormity makes Nixon look like a rookie #VPDebate,Texas 
626902743,JHeath_,509,60,,0,909,18,RT @EWErickson: I’m beginning to believe Tim Kaine’s debate strategy is to make Hillary Clinton likable compared to him.,"Hanover, NH and Brooklyn, NY"
569062229,stacydotcom,111,544,,0,169,4,RT @SopanDeb: Trump in Arizona with a...new twist to his tax return defense; Why didn't Clinton do more as senator to stop people like me?…,"Rochester, MN"
186199501,jkornack,165,0,,0,310,11,Pence: Referring to my voting record is just another Clinton scare tactic. #VPDebate #TimKaine #ImWithHer,Los Angeles
1898903101,Diszident,747,60,,0,1682,255,RT @EWErickson: I’m beginning to believe Tim Kaine’s debate strategy is to make Hillary Clinton likable compared to him.,
64047470,lmarie_taylor,156,9,,0,465,4,RT @TrumpRevoluti0n: Tim Kaine talking over Pence just makes him look unlikable just like Hillary Clinton. Scum bag characteristics,MA
387236348,jrollwde,347,0,,0,726,1,Trump and Pence framing the Clinton campaign for being one based on scare tactics is the most hypocritical thing I've ever seen. #VPDebate,"Columbia, MO & Germantown, TN"
50417872,nautilus55,1930,1098,,0,2059,70,"RT @immigrant4trump: Question: How many Private Sector Jobs has Hillary Clinton created? Answer ZERO, Except for FBI and DOJ! #VPDebate #De…","Atlanta, Georgia"
32972137,evshear,239,0,,0,573,9,I'm so shocked that Trump fans think Kaine is losing and Clinton fans think Pence is a dick.,
381858912,Civil_war_elect,380,9,,0,361,56,RT @TrumpRevoluti0n: Tim Kaine talking over Pence just makes him look unlikable just like Hillary Clinton. Scum bag characteristics,
32030807,georgeregnery,207,32,,0,306,9,"RT @sarahcwestwood: In his first 15 mins Pence has hit: Obamacare, coal country, Clinton Foundation, national debt, Syria, Iraq....more tha…","Ridgefield, CT"
