ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text, location
145779439,MrKinto,81,43,,0,151,4,RT @joshgreenman: Trump explicitly said we should let Russia have the run of Syria. https://t.co/Kmflud6x7g,"Tokyo-to, Japan"
708787665450172417,TrumpsToxic,669,1,,0,652,7,"RT @natespuewell: #VPDebate

Pence following Trump playbook: Say outrageous things, then blame your opponent for the same thing.","Florida, USA"
907031810,Laurel05728614,6,56,,0,152,0,RT @sallykohn: Basically Trump/Pence's entire political strategy is to repeat lies over and over again until 51% of voters think they're tr…,
2357729873,a40019380,97,1438,,0,75,6,"RT @ezraklein: It sort of works in the debate, but Pence shaking head, saying ""no he hasn't"" is going to look bad in ads next to Trump sayi…",
43805164,jlynn122,120,211,,0,682,5,RT @RichLowry: Pence shakes his head in incredulity every time Kaine quotes things that Trump has said,"Ronkonkoma, NY"
26963798,TaylorCardace,2059,0,,0,669,10,"I want Kaine to do a spit take whenever Pence says ""Trump never said that."" #VPDebate","El Aye/Lawnguyland, New Yawk"
24229088,alexmcclarnon,150,0,,0,149,8,Trump managed to find the only politician that's dumber than him to be his running mate. Impressive. #VPDebate,"Sanford, NC"
350553710,SLT_3,313,32,,0,954,6,RT @TonyFratto: The funniest parts of both Trump and Pence are when they flat-out deny actual Trump quotes.  #VPDebate,"Washington, DC"
30087508,Pfredp,102,2,,0,311,1,RT @LilEsBella: This is utter bullshit Trump has praised Putin to the point of saying he's a better leader than our own president. Pence li…,ATX
395014405,mesayleo,343,0,IngrahamAngle,0,901,5,@IngrahamAngle Pence is insuring that Trump looks like a douche in the next debate,
2335412192,loisledbettor,54,323,,0,169,2,"RT @MaxBoot: ""Trump supports our troops."" Except the weak ones with PTSD. Or the losers who get captured.","Georgia, USA"
21523414,Keoniana,214,2,,0,716,7,RT @Kathmandu513: Kaine knows more about what Donald Trump said then his own running mate #vpdebate,"Orange County, California"
83073023,netdog73,97,0,,0,270,0,Looks like the Trump campaign doesn't do homework. #VPDebate,
228501648,mindyhance,14,126,,0,108,0,"RT @TheDailyEdge: #VPDebate

Pence: ""Donald Trump never said those things!""

Fact checkers: https://t.co/NIcdEbBFUe",
7666932,MicMcConnell,99,0,,0,210,3,Pence denies Trump praised Putin. Learned nothing from Trump last Monday.,Richmond VA
144538924,zackehh_,2054,0,,0,538,69,"Kaine hit the nail on the head; Pence can't even defend Trump properly. ""He didn't say that!"" #VPDebate","Bradford, UK"
371321401,bow4bass,470,126,,0,1279,11,"RT @TheDailyEdge: #VPDebate

Pence: ""Donald Trump never said those things!""

Fact checkers: https://t.co/NIcdEbBFUe","Charlotte, NC"
22448293,lr622,109,505,,0,348,10,RT @JustinWolfers: Pence just denied that Trump called NATO obsolete. https://t.co/dAVsniqAE2,
2890103754,2kschumacher,1478,65,,0,1482,76,"RT @WalshFreedom: .@timkaine &amp; @HillaryClinton will be a continuation of Obama's foreign policy. 

Mike Pence &amp; Donald Trump will not. 

#V…",
3276867842,gurodenmalden,6,561,,0,19,0,RT @CNN: A 15-year-old asked Hillary Clinton about Trump's comments on women https://t.co/5CpjcWTC6e https://t.co/uL7VrhlyIz,
1725829129,RedPrincess49,33,1,,0,167,3,"RT @ReynardFou: Trump Still Has a Great Opportunity https://t.co/hFAdYjavfL
#Election2016  #Hillary https://t.co/WzB1m5P3WB",
441500344,AndrewMaddox4,620,91,,0,2307,40,RT @Bencjacobs: Mike Pence just said Trump has never praised Putin as a great leader . . .,"Dayton, Ohio"
564958993,ChristianMenges,324,115,,0,1107,14,RT @TheBriefing2016: Yet another reason to be concerned about the connections between Trump and Russia. #VPDebate https://t.co/7vLXcELb9G,United States
25610240,angieptaylor,975,542,,0,1071,66,"RT @jbouie: ""I'll defend anything Donald Trump says.""

""Trump says more countries should have nukes. Here is the date stamp.""

""He didn't s…",Fayetteville
2944668626,SueKjeldsen,9,34,,0,34,0,RT @BillHemmer: “Donald Trump.” Drink. We'd be hammered by now.,"Napa, CA"
4288190068,SteveSnell01,105,0,,0,187,4,"Unlike Christie, Pence can stand behind Trump and his policies with a smile instead of dead eyes. #VPDebat","Provo, UT"
