State,CD,Source,2012 GE - Total Cand Vote w/o Write-In,"2016 GE - Total ""Advance"" ballots Cast (mail and in-person)",2016 Advance Accepted or Returned by Party - Mail Ballots Sent or Requested,2016 Advance Accepted or Returned by Race - Mail Ballots Returned,2016 Advance Accepted or Returned by Gender - Early/In Person Cast,2016 Advance Accepted or Returned by Age - Total Advance,As of Date,Percent of 2012 Advance,Democrat,Percent Democrat,Repulican,Percent Republican,Other,Percent Other Party,Independent,Percent Independent,Party total,White,Percent White,Black,Percent Black,Hispanic,Percent Hispanic,Other Race,Percent Other Race,Unknown Race,Percent Unknown Race,Race Total,Female,Percent Female,Male,Percent Male,Unknown Gender,Percent Unknown Gender,Gender Total,18-29,Percent 18-29,30-44,Percent 30-44,45-60,Percent 45-60,60+,Percent 60+,Unknown Age,Percent Unknown Age,Age Total,Note
AL,,,"2,070,327","86,146",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,,,"297,625","79,885",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,,,"2,298,802","1,515,164",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,,,"1,069,468","497,962",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,"13,015,298","6,753,688",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,,AP,"2,569,516","2,090,426",,"3,286",,"3,286",10-Oct-16,0.20%,"1,330",47.60%,675,24.20%,47,1.70%,741,26.50%,"2,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every registered voter will receive a mail ballot
CT,,,"1,558,132","148,745",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,AP,"413,890","20,766","12,202","4,775",,"4,775",9-Oct-16,23.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,,"292,992","68,641",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,https://countyballotfiles.elections.myflorida.com/FVRSCountyBallotReports/AbsenteeEarlyVotingReports/PublicStats,"8,474,134","4,789,212","2,836,324","101,634",,"101,634",12-Oct-16,2.10%,"40,049",39.40%,"43,358",42.70%,"3,303",3.20%,"14,924",14.70%,"101,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete County Reports
GA,,http://elections.sos.ga.gov/Elections/voterabsenteefile.do,"3,897,839","1,918,931","145,053","38,477",,"38,477",11-Nov-16,2.00%,,,,,,,,,,28137,73.10%,7288,18.90%,278,0.70%,722,1.90%,2052,5.30%,"38,477","23,127",60.10%,"15,037",39.10%,313,0.80%,"38,477","2,172",5.60%,"1,957",5.10%,"5,085",13.20%,"28,981",75.30%,282,0.70%,"38,477",Returned
HI,,,"434,539","200,552",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,"652,274","164,319",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,AP,"5,241,179","1,225,276","160,868","11,633","30,890","42,523",7-Oct-16,3.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,,,"2,623,541","590,445",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,,https://sos.iowa.gov/elections/pdf/2016/general/AbsenteeCongressional2016.pdf,"1,574,738","688,005","282,194","103,130",,"103,130",11-Oct-16,15.00%,"56,553",54.80%,"27,933",27.10%,228,0.20%,"18,416",17.90%,"103,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,,,"1,158,833","371,674",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,,,"1,796,832","102,136",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,,"1,994,065","357,938",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,http://www.maine.gov/sos/cec/elec/data/index.html,"711,053","188,782","56,851","8,215",,"8,215",11-Oct-16,4.40%,"4,043",49.20%,"2,089",25.40%,234,2.80%,"1,849",22.50%,"8,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CD 1,,,,"36,127","4,392",,"4,392",11-Oct,,"2,224",50.60%,988,22.50%,129,2.90%,"1,051",23.90%,"4,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CD 2,,,,"20,724","3,823",,"3,823",11-Oct,,"1,819",47.60%,"1,101",28.80%,105,2.70%,798,20.90%,"3,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,"2,697,018","580,586",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
