"Census Weight for Vote Overreport Bias Correction",,,,,,,,,,,,,,,,,,,,,,,,,
Turnout Rate,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,,,,,,,,,,
18-29,16.30%,40.90%,20.30%,48.40%,20.30%,45.00%,18.20%,34.50%,17.70%,33.10%,21.00%,42.70%,20.00%,35.70%,20.50%,,,,,,,,,,
30-44,30.10%,56.20%,36.10%,60.70%,36.30%,59.50%,36.00%,54.00%,35.10%,50.50%,39.40%,59.00%,38.70%,54.20%,38.50%,,,,,,,,,,
45-59,42.60%,66.00%,50.40%,69.50%,50.40%,69.00%,50.10%,64.30%,49.10%,62.50%,52.90%,68.00%,49.30%,64.70%,50.10%,,,,,,,,,,
60+,54.90%,71.20%,59.00%,71.00%,57.60%,69.70%,57.10%,67.30%,55.60%,65.70%,57.20%,68.00%,53.70%,64.70%,53.80%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Share of Electorate,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,,,,,,,,,,
18-29,10.00%,15.40%,11.30%,17.10%,11.20%,16.00%,10.20%,14.30%,10.60%,14.90%,12.20%,17.70%,13.50%,18.10%,15.50%,,,,,,,,,,
30-44,20.30%,23.10%,21.90%,24.80%,23.90%,27.30%,27.10%,30.30%,29.30%,31.80%,31.80%,33.10%,32.70%,32.10%,30.60%,,,,,,,,,,
45-59,30.30%,30.00%,32.70%,30.60%,33.60%,30.60%,32.10%,28.90%,29.70%,26.60%,26.70%,23.60%,24.00%,23.00%,24.20%,,,,,,,,,,
60+,39.40%,31.50%,34.30%,27.60%,31.30%,26.10%,30.60%,26.50%,30.30%,26.80%,29.30%,25.60%,29.80%,26.80%,29.80%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Census Weight,,,,,,,,,,,,,,,,,,,,,,,,,
Turnout Rate,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,,,,,,,,,,
18-29,19.90%,45.00%,24.00%,51.10%,25.50%,49.00%,22.50%,40.30%,22.30%,39.60%,26.20%,50.60%,26.50%,40.50%,27.60%,,,,,,,,,,
30-44,35.60%,59.50%,40.40%,61.80%,43.00%,62.40%,42.20%,58.50%,41.80%,56.90%,46.50%,65.90%,47.80%,59.20%,48.40%,,,,,,,,,,
45-59,47.30%,66.90%,52.60%,68.50%,56.00%,70.00%,55.00%,66.90%,55.20%,67.20%,58.90%,73.00%,57.40%,69.20%,59.30%,,,,,,,,,,
60+,58.70%,71.80%,60.80%,70.80%,63.10%,71.40%,62.50%,70.20%,61.60%,69.90%,63.40%,73.10%,61.90%,71.40%,63.30%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Share of Electorate,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,,,,,,,,,,
18-29,10.00%,15.50%,11.30%,17.10%,11.20%,16.00%,10.20%,14.30%,10.60%,14.90%,12.20%,17.70%,13.50%,18.10%,15.50%,,,,,,,,,,
30-44,20.30%,23.10%,21.90%,24.80%,23.90%,27.30%,27.10%,30.20%,29.30%,31.80%,31.80%,33.10%,32.60%,32.10%,30.60%,,,,,,,,,,
45-59,30.20%,29.90%,32.60%,30.60%,33.50%,30.60%,32.10%,28.90%,29.70%,26.60%,26.70%,23.60%,24.00%,23.10%,24.20%,,,,,,,,,,
60+,39.50%,31.50%,34.30%,27.60%,31.40%,26.10%,30.60%,26.50%,30.40%,26.80%,29.30%,25.70%,29.80%,26.80%,29.80%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
